,name,id,lat,lon,capacity,closest_district
216,"Great Percy Street, Clerkenwell",227,51.52891573,-0.115480888,23,Islington
217,"St. James's Square, St. James's",228,51.50742485,-0.134621209,40,Westminster
218,"Whitehall Place, Strand",229,51.50654321,-0.12317969699999999,24,Lambeth
219,"Poured Lines, Bankside",230,51.50669284,-0.10313742599999999,31,Southwark
220,"Queen's Gate (Central), South Kensington",231,51.49396755,-0.17873226,31,Kensington and Chelsea
221,"Carey Street, Holborn",232,51.51501025,-0.11275321699999999,16,City of London
222,"Pall Mall East, West End",233,51.50777049,-0.130699733,22,Lambeth
223,"Liverpool Road (N1 Centre), Angel",234,51.53450449,-0.10699270599999999,24,Islington
224,"Kennington Road  , Vauxhall",235,51.49571828,-0.11088927400000001,36,Lambeth
225,"Fashion Street, Whitechapel",236,51.51838043,-0.073438925,30,City of London
226,"Dock Street, Wapping",237,51.509786015100005,-0.06816198051559999,30,City of London
227,"Frampton Street, Paddington",238,51.5233534,-0.175116099,32,Kensington and Chelsea
228,"Warren Street Station, Euston",239,51.52443845,-0.138019439,26,Camden
229,"Colombo Street, Southwark",240,51.50545935,-0.10569204,14,Southwark
230,"Beaumont Street, Marylebone",242,51.52200801,-0.151359288,23,Camden
231,"Gloucester Street, Pimlico",243,51.49096258,-0.139625122,25,Westminster
232,"Earnshaw Street , Covent Garden",244,51.51611887,-0.128585022,18,Lambeth
233,"Grosvenor Road, Pimlico",245,51.4853572,-0.142207481,29,Westminster
234,"Berry Street, Clerkenwell",246,51.52285301,-0.09999405199999999,41,City of London
235,"St. John's Wood Church, The Regent's Park",247,51.530052000000005,-0.16831400000000002,50,Camden
236,"Triangle Car Park, Hyde Park",248,51.50645179,-0.170279555,27,Kensington and Chelsea
237,"Harper Road, The Borough",249,51.49859784,-0.096191134,42,Southwark
238,"Royal Avenue 1, Chelsea",250,51.489932,-0.162727,10,Westminster
239,"Brushfield Street, Liverpool Street",251,51.518908,-0.079249,34,City of London
240,"Jubilee Gardens, South Bank",252,51.5046364,-0.11654227800000001,30,Lambeth
241,"Shoreditch Park, Hoxton",253,51.53404294,-0.086379717,30,Islington
242,"Chadwell Street, Angel",254,51.53051587,-0.106408455,18,Islington
243,"Clifton Road, Maida Vale",255,51.52557531,-0.179592915,22,Kensington and Chelsea
244,"Houghton Street, Strand",256,51.51362054,-0.11676421099999999,15,Lambeth
245,"Westminster University, Marylebone",257,51.52248185,-0.154907218,16,Camden
246,"Kensington Gore, Knightsbridge",258,51.50143293,-0.17865697100000003,23,Kensington and Chelsea
247,"Bourne Street, Belgravia",259,51.491495,-0.15400472,16,Westminster
248,"Broadwick Street, Soho",260,51.513684600000005,-0.13558087900000002,18,Westminster
249,"Princes Square, Bayswater",261,51.5134891,-0.191351186,15,Kensington and Chelsea
250,"LSBU (Borough Road), Elephant & Castle",262,51.49874469,-0.103132904,35,Southwark
251,"St. Mary Axe, Aldgate",263,51.51422502,-0.080660083,21,City of London
252,"Tysoe Street, Clerkenwell",264,51.52644342,-0.10925682800000001,20,Islington
253,"Southwick Street, Paddington",265,51.51595344,-0.169249375,17,Kensington and Chelsea
254,"Queen's Gate (North), Kensington",266,51.50102668,-0.18024610100000002,41,Kensington and Chelsea
255,"Regency Street, Westminster",267,51.49206037,-0.13222462199999999,22,Westminster
256,"Belgrave Road, Victoria",268,51.49320445,-0.144132875,29,Westminster
257,"Empire Square, The Borough",269,51.50082346,-0.089740764,46,Southwark
