Actual,Day,Predicted
339,635,69.4397320146142
79,636,57.9000602050655
87,637,169.659996629176
399,638,205.886242523105
399,639,194.237763187105
357,640,197.961840737454
324,641,154.543117844683
361,642,68.6599215996703
83,643,52.0705870616067
62,644,177.09990676602
345,645,199.791626122838
370,646,186.873479444347
383,647,197.851758116743
368,648,168.617054739726
338,649,64.1203451107003
90,650,46.1356789480745
89,651,177.416034609457
342,652,190.312371987699
365,653,186.009144174962
381,654,206.33975296491
361,655,165.353542888814
311,656,56.9398938892378
56,657,55.99506803949
78,658,178.967327891404
372,659,201.115300385727
391,660,199.508383641631
393,661,195.851363967764
412,662,173.350893395839
307,663,58.027654524727
63,664,48.3264405850089
51,665,161.654154069988
283,666,163.531765478088
386,667,166.469668647333
179,668,148.835188238706
355,669,151.854463062282
335,670,60.8903475511516
37,671,45.8395668127671
54,672,172.463655979514
323,673,179.97368915689
351,674,179.277164777612
382,675,196.218269446632
374,676,166.064124564036
325,677,56.320381019128
53,678,32.7055013485643
39,679,159.762777895211
302,680,176.242654390107
365,681,180.654263688988
367,682,175.884249423086
390,683,171.73092129481
340,684,60.0157361034127
77,685,36.7384602769318
60,686,144.521307710061
327,687,189.622958530606
372,688,178.911796963547
380,689,177.751756894931
366,690,153.837451223653
312,691,50.3166706665727
66,692,40.8892510831788
61,693,155.869543089517
357,694,182.123233119606
365,695,174.753243235489
376,696,189.847521584164
388,697,168.482253855829
344,698,66.9524408946328
34,699,33.0051182849851
60,700,145.507162892682
367,701,193.382539763284
357,702,178.85469748281
382,703,185.600919553491
371,704,166.622826099948
316,705,64.0698026006106
44,706,51.1498181373732
57,707,159.909488558027
321,708,180.723131953229
340,709,172.267009504153
267,710,158.616362496514
243,711,115.250918726846
127,712,2.19601833343981
17,713,33.3837255263835
80,714,149.258841269574
38,715,93.2687842654214
49,716,100.651687718705
73,717,122.13430358198
77,718,56.8714231758725
68,719,-6.56189025744552
22,720,41.3820522218329
20,721,174.821662011144
34,722,133.486692308524
221,723,148.170444781621
326,724,167.776908121357
335,725,144.144397730754
288,726,43.0641556621408
59,727,45.8328843279012
43,728,192.430693332479
575,729,221.399852349034
372,730,176.379993512137
359,731,184.874802267631
328,732,157.034760260373
253,733,26.4459410402639
23,734,35.7580633676723
29,735,163.064672953593
252,736,169.843074280078
393,737,188.323811848497
354,738,172.216817147302
358,739,147.420595703083
297,740,45.4340959741719
38,741,44.6936635925329
58,742,153.139940148591
359,743,189.469978555459
361,744,183.191343208118
363,745,195.577362368459
353,746,167.020940373031
295,747,45.4896126201893
70,748,49.6231489349293
39,749,159.212809528644
360,750,191.981896496324
300,751,171.792988821822
315,752,185.72253041948
357,753,167.703963501294
304,754,64.9960388056715
56,755,45.5446795193763
46,756,179.489806217735
367,757,183.666660210149
378,758,188.858624556049
369,759,188.722366467886
321,760,155.609356938203
244,761,31.8408675643175
45,762,43.2008699068493
38,763,154.120358925142
309,764,177.197429750909
328,765,164.285765572913
335,766,184.777022005466
309,767,147.079045596811
289,768,41.4170624050986
63,769,45.6405202742258
67,770,177.542031174452
362,771,192.7273117503
366,772,189.954335262318
383,773,194.548363586821
306,774,153.536554378434
275,775,44.0138791445534
37,776,44.287064215199
55,777,153.335170822588
315,778,183.128276158671
358,779,175.175612470955
339,780,175.823113688121
351,781,154.968746324894
227,782,29.9295821277559
92,783,42.3862832247215
32,784,154.54743986372
358,785,192.247486849758
361,786,182.80488009727
312,787,184.73394434407
343,788,159.697654321495
317,789,48.6778240671253
81,790,49.173605649019
56,791,177.245967605804
406,792,198.04081652979
379,793,197.062851558412
328,794,189.17115871804
359,795,159.09618092808
315,796,54.4365086167444
71,797,45.2946818971766
76,798,135.709590556862
381,799,196.946498920554
367,800,193.491192933882
358,801,202.939915746784
356,802,163.575257002368
315,803,53.0758123002049
65,804,50.337154939314
87,805,166.133537246758
374,806,196.809156233931
374,807,204.687741453734
365,808,194.486305713714
392,809,166.231674281793
316,810,45.8222318188563
91,811,49.8702396040641
110,812,183.09822195882
365,813,205.555036921017
381,814,200.492694594619
340,815,198.468958318715
288,816,139.379426154548
51,817,3.72594042473051
58,818,49.3075176999977
63,819,150.641774569873
61,820,156.279213197213
370,821,192.721450249896
378,822,200.051321097918
380,823,160.310299112667
325,824,51.2438527809675
66,825,52.0308176509603
71,826,160.749414673256
379,827,203.564774829595
374,828,190.592875190546
366,829,201.430609635733
363,830,155.555015449502
299,831,44.4665677674854
64,832,53.3272859198921
57,833,157.097967281927
57,834,159.117561048385
401,835,192.295284815398
364,836,199.277633137452
351,837,162.386743739464
339,838,63.542070635767
81,839,49.6021158052841
78,840,164.885845311439
374,841,200.35939174892
366,842,188.044889072317
423,843,207.775374299466
399,844,176.327873531787
338,845,74.724030932559
81,846,70.9326101576548
79,847,164.809805011155
310,848,193.893401606926
404,849,198.915030398018
293,850,196.10441327184
344,851,169.438418018837
270,852,39.2154814088013
82,853,53.108296109172
84,854,171.434835031544
404,855,207.588063329361
421,856,214.281391361374
406,857,210.394922471793
421,858,176.839476670437
346,859,61.6381194126885
71,860,58.6898846949314
77,861,164.199083101074
73,862,164.986203525345
380,863,203.026034003405
387,864,206.20643954539
376,865,165.467919334303
296,866,55.3051493144633
