Day,Actual,Predicted
1251,359,253.465006789293
1252,92,171.773094634749
1253,89,191.665666572156
1254,360,493.672688540126
1255,387,444.118434370263
1256,377,364.679419095798
1257,394,277.795175576931
1258,320,212.598526923329
1259,80,180.882161648376
1260,102,219.483248618512
1261,383,503.850985537856
1262,374,443.009855696051
1263,391,362.833605016432
1264,395,317.386506800996
1265,343,289.910729064381
1266,80,230.825750436304
1267,108,221.865358367522
1268,378,476.794460964078
1269,398,418.560151552644
1270,387,332.741868464479
1271,394,284.628098343839
1272,322,223.720671619013
1273,91,190.056749337588
1274,90,218.164576508755
1275,361,502.592119702578
1276,423,423.289250355254
1277,394,369.580423338535
1278,395,331.014031424633
1279,319,235.955898497106
1280,104,185.999238848141
1281,103,206.581259077944
1282,382,458.238888611773
1283,360,442.331701535526
1284,397,412.535736818361
1285,377,342.129996761231
1286,274,273.330194216402
1287,91,222.201391309394
1288,43,205.803470517786
1289,358,544.317462568151
1290,383,451.497420768888
1291,355,348.814172583917
1292,397,297.095637869268
1293,315,307.288586028221
1294,97,190.082965506868
1295,102,183.363807682114
1296,340,477.544616558596
1297,353,436.836913908576
1298,325,345.88538712691
1299,235,235.176963175259
1300,274,141.547537774408
1301,68,190.188752725224
1302,57,163.56496644056
1303,331,410.767303402408
1304,344,436.57801972121
1305,389,318.056440332812
1306,258,274.951435508554
1307,312,239.842374434663
1308,70,131.129420582344
1309,96,201.210984319825
1310,354,463.093962705183
1311,352,406.074046168125
1312,339,312.654692546511
1313,288,303.901929809999
1314,242,176.348701586644
1315,70,104.884435902385
1316,18,36.8131703492155
1317,64,460.168488087581
1318,326,383.142523826397
1319,176,311.26658440128
1320,335,295.078078841678
1321,262,190.298607403882
1322,83,150.131733192536
1323,96,217.150676797866
1324,379,448.429689020778
1325,340,411.651778964022
1326,389,333.806739295043
1327,346,271.563657567814
1328,287,174.999142715808
1329,87,104.739164412756
1330,74,171.267699399446
1331,321,460.254897499708
1332,371,347.867514277676
1333,328,340.144193868273
1334,388,306.691235248207
1335,317,185.133811052685
1336,94,116.746819750125
1337,94,212.634406877506
1338,397,490.651405885633
1339,400,423.342446007334
1340,370,473.570999983744
1341,349,434.556885553698
1342,285,394.622058298659
1343,46,148.39052061996
1344,40,146.249476477381
1345,373,440.038384075482
1346,383,403.706822607644
1347,443,345.642054393012
1348,376,325.466528417165
1349,372,192.41630927486
1350,63,164.800442040279
1351,99,162.026127350045
1352,387,433.828681101776
1353,404,384.608788128713
1354,398,322.661277245643
1355,369,200.974983811611
1356,345,316.271980207193
1357,29,172.161977328757
1358,72,228.888725828911
1359,391,400.003215026299
1360,390,372.399759850085
1361,353,341.337835795252
1362,389,343.40621208788
1363,348,273.453630732774
1364,83,337.641876885007
1365,40,121.634920359943
1366,301,374.01861984224
1367,386,465.512901390127
1368,333,360.450423058632
1369,364,273.898156092456
1370,325,186.568856902504
1371,95,136.800809698929
1372,77,162.241534334637
1373,332,429.066749926866
1374,347,370.133419217589
1375,389,311.72508734358
1376,345,215.405441235752
1377,237,135.595332474715
1378,49,68.7195093849622
1379,46,89.8426619430413
1380,360,347.293427496251
1381,339,251.86802951894
1382,283,405.656079079511
1383,373,275.493917868469
1384,284,77.664781850758
1385,42,126.469740089806
1386,60,186.653401212961
1387,356,382.75509012079
1388,369,363.742774962609
1389,383,313.625402320554
1390,400,207.143629105618
1391,296,231.411653346111
1392,76,208.560859345673
1393,39,126.416780428279
1394,277,354.143766022784
1395,282,277.024357907735
1396,325,295.131115721654
1397,288,284.357779872156
1398,275,143.282743516912
1399,45,129.593801866865
1400,55,121.985399413055
1401,342,318.435263370624
1402,300,255.516190046923
1403,265,341.404824110787
1404,266,351.378932988513
1405,258,183.896839898996
1406,58,85.5434407426155
1407,66,183.525488790383
1408,309,419.832092370208
1409,331,350.000821464429
1410,277,258.24983234578
1411,236,246.402736003568
1412,134,187.399571296485
1413,58,227.917889294489
1414,59,237.608190300608
1415,348,352.425700678974
1416,344,343.831053711048
1417,318,299.076423789933
1418,312,217.850563970841
1419,252,189.701186379407
1420,32,68.1544245744527
1421,28,115.976390049272
1422,307,363.17257893956
1423,272,331.324069627381
