Month,Season,Weekday,Holiday,Daily Weather,Daily Weather (Past),Humidity,Humidity (Past),Windspeed,Windspeed (Past),Apparent Temperature (Avg),Apparent Temperature (Avg) (Past),Rented Bikes,Rented Bikes (Future)
January,Winter,Wednesday,False,clear-day,clear-day,0.81,0.85,3.03,5.75,37.3,37.0,333,339
January,Winter,Thursday,False,partly-cloudy-day,clear-day,0.81,0.81,4.8,3.03,33.03,37.3,339,282
January,Winter,Friday,False,clear-day,partly-cloudy-day,0.79,0.81,4.61,4.8,35.0,33.03,282,72
January,Winter,Saturday,False,clear-day,clear-day,0.84,0.79,1.63,4.61,36.805,35.0,72,71
January,Winter,Sunday,False,fog,clear-day,0.87,0.84,1.83,1.63,37.02,36.805,71,326
January,Winter,Monday,False,partly-cloudy-day,fog,0.82,0.87,2.95,1.83,32.355000000000004,37.02,326,327
January,Winter,Tuesday,False,clear-day,partly-cloudy-day,0.79,0.82,0.02,2.95,32.34,32.355000000000004,327,345
January,Winter,Wednesday,False,partly-cloudy-day,clear-day,0.85,0.79,0.16,0.02,35.55,32.34,345,319
January,Winter,Thursday,False,partly-cloudy-day,partly-cloudy-day,0.83,0.85,2.54,0.16,40.335,35.55,319,238
January,Winter,Friday,False,rain,partly-cloudy-day,0.87,0.83,3.49,2.54,45.5,40.335,238,71
January,Winter,Saturday,False,clear-day,rain,0.91,0.87,2.73,3.49,46.925,45.5,71,63
January,Winter,Sunday,False,partly-cloudy-day,clear-day,0.93,0.91,3.76,2.73,52.405,46.925,63,336
January,Winter,Monday,False,partly-cloudy-day,partly-cloudy-day,0.83,0.93,4.34,3.76,48.29,52.405,336,316
January,Winter,Tuesday,False,partly-cloudy-day,partly-cloudy-day,0.88,0.83,6.86,4.34,51.58,48.29,316,321
January,Winter,Wednesday,False,rain,partly-cloudy-day,0.88,0.88,7.35,6.86,45.35,51.58,321,309
January,Winter,Thursday,False,partly-cloudy-day,rain,0.77,0.88,4.09,7.35,44.53,45.35,309,288
January,Winter,Friday,False,rain,partly-cloudy-day,0.85,0.77,8.68,4.09,48.505,44.53,288,50
January,Winter,Saturday,False,partly-cloudy-day,rain,0.76,0.85,5.5,8.68,40.92,48.505,50,43
January,Winter,Sunday,False,partly-cloudy-day,partly-cloudy-day,0.86,0.76,4.18,5.5,54.075,40.92,43,321
February,Winter,Monday,False,partly-cloudy-day,partly-cloudy-day,0.77,0.86,8.3,4.18,50.675,54.075,321,313
February,Winter,Tuesday,False,partly-cloudy-day,partly-cloudy-day,0.7,0.77,6.4,8.3,39.695,50.675,313,327
February,Winter,Wednesday,False,partly-cloudy-day,partly-cloudy-day,0.76,0.7,3.99,6.4,41.57,39.695,327,332
February,Winter,Thursday,False,partly-cloudy-day,partly-cloudy-day,0.83,0.76,3.87,3.99,51.915,41.57,332,286
February,Winter,Friday,False,partly-cloudy-day,partly-cloudy-day,0.86,0.83,5.38,3.87,48.96,51.915,286,52
